"","sourceMedium","Sessions","users","transactions","revenuePerTransaction","transactionRevenue","revenuePerUser","transactionsPerSession","goal15Completions"
"1","google / cpc",36189,18713,1431,278.665597484277,398770.47,21.3098097579223,3.95424023874658,491
"2","facebook_instagram / paid_social",18327,10011,100,289.4702,28947.02,2.89152132654081,0.545643040323021,51
"3","business / sms",16080,10726,160,301.4715,48235.44,4.49705761700541,0.995024875621891,59
"4","(direct) / (none)",14168,12148,535,268.446897196262,143619.09,11.8224473164307,3.77611518915867,186
"5","google / organic",13110,8116,342,284.544766081871,97314.31,11.9904275505175,2.60869565217391,101
"6","business / email",9048,6264,211,301.391611374408,63593.63,10.1522397828863,2.33200707338638,66
"7","facebook_instagram / (not set)",5076,4131,19,260.631578947368,4952,1.19874122488502,0.374310480693459,13
"8","reutmac / affiliate",4365,3289,346,228.649046242775,79112.57,24.0536850106415,7.92668957617411,71
"9","m.facebook.com / referral",1548,1177,34,280.242647058824,9528.25,8.09536958368734,2.19638242894057,23
"10","instagram / influence",1439,1293,10,294.913,2949.13,2.2808430007734,0.694927032661571,13
"11","business / (not set)",1073,589,15,283.466666666667,4252,7.21901528013582,1.39794967381174,9
"12","instabio.cc / referral",995,762,21,319.86619047619,6717.19,8.81520997375328,2.1105527638191,9
"13","fb / instagram_stories",717,516,0,0,0,0,0,0
"14","igshopping / social",642,482,14,229.32,3210.48,6.66074688796681,2.18068535825545,6
"15","l.facebook.com / referral",596,425,23,281.205652173913,6467.73,15.2181882352941,3.85906040268456,9
"16","publisher.liveperson.net / referral",523,249,44,303.681590909091,13361.99,53.6626104417671,8.41300191204589,10
"17","mac_hautegossip / sms",496,274,5,458.134,2290.67,8.3601094890511,1.00806451612903,2
"18","hever / affiliate",493,402,8,341.2,2729.6,6.79004975124378,1.62271805273834,6
"19","itmomz / affiliate",444,388,6,280.181666666667,1681.09,4.33270618556701,1.35135135135135,2
"20","instagram.com / referral",421,348,0,0,0,0,0,0
"21","fb / facebook_mobile_feed",416,311,1,237.75,237.75,0.764469453376206,0.240384615384615,0
"22","ambassadors / affiliates",339,296,0,0,0,0,0,0
"23","instagram / paid_social",259,249,0,0,0,0,0,0
"24","bing / organic",232,129,23,306.431304347826,7047.92,54.6350387596899,9.91379310344828,13
"25","mac_abandonedcartemail / email",185,93,14,282.014285714286,3948.2,42.4537634408602,7.56756756756757,1
"26","fb / instagram_feed",163,111,0,0,0,0,0,0
"27","ofersale.ofermalls.co.il / referral",146,122,2,322.125,644.25,5.28073770491803,1.36986301369863,0
"28","gatekeeperapp.net / referral",127,56,19,292.668421052632,5560.7,99.2982142857143,14.9606299212598,1
"29","l.instagram.com / referral",95,90,0,0,0,0,0,1
"30","test-link.api.useinsider.com / referral",84,79,0,0,0,0,0,0
"31","z2.le.liveperson.net / referral",81,1,0,0,0,0,0,0
"32","youtube.com / referral",65,53,2,281.25,562.5,10.6132075471698,3.07692307692308,0
"33","msn.com / referral",64,1,0,0,0,0,0,0
"34","studiofix_launch / email",47,30,2,128.125,256.25,8.54166666666667,4.25531914893617,0
"35","mac_hyperrealgift / sms",46,31,3,249,747,24.0967741935484,6.52173913043478,0
"36","searchfast.co / referral",41,1,0,0,0,0,0,0
"37","shoppingil / affiliate",41,36,0,0,0,0,0,0
"38","jira.esteeonline.com / referral",38,6,0,0,0,0,0,0
"39","yahoo / organic",36,25,4,212.5525,850.21,34.0084,11.1111111111111,0
"40","instagram / organic_social",36,24,1,533.25,533.25,22.21875,2.77777777777778,0
"41","ambassadors / (not set)",30,14,1,271.5,271.5,19.3928571428571,3.33333333333333,0
"42","mac_il72 / sms",30,19,0,0,0,0,0,0
"43","mfashionforward.mako.co.il / referral",29,25,1,486.75,486.75,19.47,3.44827586206897,0
"44","fb / facebook_instream_video",26,23,0,0,0,0,0,0
"45","hadasholland.com / referral",24,16,1,297,297,18.5625,4.16666666666667,0
"46","facebook.com / referral",21,14,3,531.5,1594.5,113.892857142857,14.2857142857143,1
"47","mac_minigift / sms",21,14,1,178.5,178.5,12.75,4.76190476190476,0
"48","lm.facebook.com / referral",21,15,0,0,0,0,0,1
"49","mac_pprestock / email",19,15,0,0,0,0,0,0
"50","myofer.co.il / referral",17,14,2,218.125,436.25,31.1607142857143,11.7647058823529,0
"51","mac_aprilflashsale / sms",17,10,0,0,0,0,0,0
"52","mac_dutyfreemac / email",17,14,0,0,0,0,0,0
"53","mac_passoverpresents / sms",17,12,0,0,0,0,0,0
"54","mail.google.com / referral",17,8,0,0,0,0,0,0
"55","mail.walla.co.il / referral",16,9,0,0,0,0,0,0
"56","stars.mycue.co.il / referral",16,10,0,0,0,0,0,0
"57","il.all-beautylife.com / referral",15,9,2,518.25,1036.5,115.166666666667,13.3333333333333,0
"58","fb / instagram_explore",15,12,0,0,0,0,0,0
"59","july_14_07_16 / sms",14,1,0,0,0,0,0,0
"60","mac_shoppingil19sms / sms",13,5,0,0,0,0,0,0
"61","fb / others",12,9,0,0,0,0,0,0
"62","mac_noakirelinfluence / instagram",12,12,0,0,0,0,0,0
"63","mac_noakirelkitig / instagram",12,10,0,0,0,0,0,0
"64","sitelink / google",12,10,0,0,0,0,0,0
